input,output,A,B,C,D,source
2019 年 4 月 10 日晚 9 点，全球多国科研人员合作的“事件视界望远镜”项目在全球六地同步举行新闻发布会，发布了世界上首张黑洞图像，公布了人类首次拍到的黑洞照片，这 是继 2015 年人类通过引力波视测“听到”两个“黑洞”合体之后，证明黑洞存在的直接“视界” 证据。有科学家认为，这张看起来有点模糊的照片意义非凡，它再次验证了爱因斯坦广义相 对论的预言是对的，并将进一步帮助科学家解答星系演化等一系列宇宙本质问题。人类首次 “看到”黑洞正面照表明( ),AB,空间的性质依赖于物质的分布及其运动状态  ,世界是物质的统一体,物质世界的客观存在与人的实践和认识水平有关  ,空间的观念随着人的认识发展而拓展,2020UnifiedNationalGraduateEntranceExamination
2019 年 10 月 24 日，中共中央政治局就区块链技术发展现状和趋势进行集体学习。习近平在主持学习时指出， 我们要提高运用和管理区块链技术能力，使区块链技术在建设网络强国、发展数字经济、助力经济社会发展等方面发挥更大作用”。有专家认为，基于区块链技术，人们可以构建在没有中介辅助下多个参与方之间的资产交易、价值传递的网络，通过建立执行智能合约，推动契约关系和规则的维护和履行，降低信用建立成本，营造良好市场环境。区块链技术所实现的人与人之间相互联系的延伸和变化，表明人们的现实社会关系( ),BC,一种单纯的经济和商业关系 ,具有多样性和复杂性的特征 ,归根到底受生产关系的制约 ,由信息技术构造的虚拟关系,2020UnifiedNationalGraduateEntranceExamination
一方水土孕育一方文化。很早以前，人们就在平原、高原、山地、河谷，海域等广阔的地理空间发展出农耕、渔猎、游牧等不同经济形态，进而形成具有明显地域差别的文化。高 铁、互联网等虽然极大消除了不同地域空间之间的界限，加速地域文化的同质性转化，但地 域文化并没有消失，还在持续对当代社会发展产生重要影响。“一方水土孕育一方文化“表明,AD,社会经济状况决定文化发展形态  ,自然地理空间影响文化的外在特征 ,文化是人类社会发展的决定力量,不同形态文化的发展具有相对独立性,2020UnifiedNationalGraduateEntranceExamination
资本循环是资本实现价值增殖的重要前提。所谓资本循环，是指资本从一种形式出发， 经过一系列形式的变化，又回到原来出发点的运动，产业资本循环过程中在空间上同时存在 的资本形式有( ),ACD,生产资本 ,借贷资本 ,货币资本 ,商品资本,2020UnifiedNationalGraduateEntranceExamination
为了加强对各国垄断资本的协调和制约。第二次世界大战后，国际垄断资本建立了国际货币基金组织，世界银行和世界贸易组织等国际经济机构。这些国际经济机构在协调和合作 的基础上促进了经济全球化的发展，主要表现在(),ABD,加强了各国和各经济体之间的联系  ,推动了商品和服务贸易的迅速增加  ,有效应对全球性经济波动和经济危机 ,加快了资本和技术等要素的国际流动,2020UnifiedNationalGraduateEntranceExamination
中国特色社会主义进入新时代，人民群众的新期特内容更广泛。不仅关注“有没有”，更关性“好不好”;不仅包括既有的物质文化需求，更包括在此基础上衍生出来的获得感。幸福 感、安全感及尊严、权利等新需求。这一变化表明( ),ACD,我国社会主要矛盾发生了历史性变化 ,我国已经满足了人民“从有到优”的需求, 人民群众对日益增长的物质文化需要出现了阶段性新特征, 我国不平衡不充分的发展已成为制约满足人民需要的主要保障,2020UnifiedNationalGraduateEntranceExamination
深圳经济特区是我国改革开放的排头兵和重要窗口。2019 年 8 月，中共中央、国务院印发《关于支持深圳建设中国特色社会主义先行示范区的意见》，要求深圳建设成为高质量发展高地，法治城市示范，城市文明典范，民生幸福标杆，可持续发展先锋。支持深圳建设中 国特色社会主义先行示范区，有利于( ),ABC,更好实施粤港澳大湾区战略，丰富“一国两制”事业发展新实践  ,在更高起点，更高层次，更高目标上推进改革开放,率先探索全面建设社会主义现代化国家新路径  ,破解制约建成小康社会重点难点问题,2020UnifiedNationalGraduateEntranceExamination
消除贫困，改善民生，逐步实现共同富裕，是社会主义的本质要求，是我们党的重要使命，新中国成立 70 余年，我国已有 7 亿多人摆脱贫困，占全球减贫人口的 70%以上，中国是第一个完成联合国千年发展目标中减贫目标的发展中国家，也是唯一一个实现了经济较快 增长，与大规模减贫同步，综合国力增强与人民生活水平提高同步，这一历史跨越的发展中国家。进入新时代，为了确保到 2020 年现行标准下农村贫困人口实现脱贫，贫困县全部摘帽的目标，我国的重要举措是( ),ABCD, 坚持精准扶贫，精准脱贫, 强化党政一把手负总责的责任制 ,注重扶贫同扶志扶智相结合,重点攻克深度贫困地区脱贫任务,2020UnifiedNationalGraduateEntranceExamination
从 1956 年我国建立第一个自然保护区鼎湖保护区，到目前全国已拥有了 2750 个自然保护区，面积 147 万平方公里，约占陆域国土面积 15%，自党的十八届三中全会决定“建立国家公园体制”以来，涉及 12 个省，总面积约为 22.29 万平方公里，我国建立以国家公园为主体的自然保护地体系的意义是( ),ABCD, 推进自然生态保护，建立美丽新中国, 保护重要的自然生态系统和独特的自然遗产 ,促进人与自然和谐共生,维护国家生态安全,2020UnifiedNationalGraduateEntranceExamination
止暴制乱、恢复秩序是香港当前最紧迫的任务。贯彻落实“一国两制”方针，绝不能允许触碰的原则底线是( ),ACD, 危害国家主权安全, 干扰内地与香港的民间交流, 挑战中央权力与香港特别行政区基本法权威 ,利用香港对内地进行渗透破坏,2020UnifiedNationalGraduateEntranceExamination
鸦片战争后，资本列强通过发动侵略战争，强迫中国签订一系列不平等条约。但列强也没能如英国在印度那样，对中国实施殖民统治，这是因为( ),ABD, 中国人民顽强、持久的反抗, 列强间争夺中国的矛盾无法协调 ,中国封建势力拒绝与列强合作  ,中国长期以来是一个统一的大国,2020UnifiedNationalGraduateEntranceExamination
在北洋军阀反动统治和艰难环境中，以李大钊为代表的早期马克思主义者掀起了一场研究，传播马克思主义的运动。这场运动从一开始注意从中国实际出发学习运用马克思主义理论( ),ABC,注意从中国实际出发学习运用马克思主义理论  ,重视对马克思主义基本理论的学习, 提出知识分子在同劳动群众相结合的思想, 明确提出马克思主义与中国实际相结合的命题,2020UnifiedNationalGraduateEntranceExamination
1950 年 6 月，朝鲜战争爆发，美国宣布武装勘探南朝鲜，同时命令其海军第七舰队，开入台湾海峡，“阻止对台湾的任何进攻”公然干涉中国内政。中国政府在美国把战火烧到鸭绿江边的时候，毅然做出抗美援朝的决定。中朝两国人民及其军队经过艰苦作战以及谈判斗争，终于在 1953 年 7 月迫使美国代表在停战协定上签字。克拉克后来回忆录中沮丧地写到： “我是美国历史上第一个，在没有取得胜利的停战协定上签字的司令官”。抗美援朝战争的胜利( ),BCD, 打退了美国侵略扩张的势头，结束美国在东方的霸权, 提高了新中国的国际威望，为新中国赢得了相对稳定的和平环境  ,捍卫了中国的国家安全，为维护亚洲和世界和平，做出了贡献,打破了美国军队不可战胜的神话，增强了中国人民的信心和自豪感,2020UnifiedNationalGraduateEntranceExamination
2019 年 10 月，中共中央国务院印发的《新时代公民道德建设实施纲要》是在中国特色社会主义进入新时代的背景下，推动我国精神文明建设再上新高度，为实现中华民族伟大复兴中国梦凝心铸魂的指导性文件，新时代公民道德建设的重点任务是( ),ABCD, 传承中华传统美德, 培育践行社会主义核心价值观 ,筑牢理想传承之基,弘扬民族精神和时代精神,2020UnifiedNationalGraduateEntranceExamination
法律规定公民有表达权，但权力要依法行使，尤其是”自媒体”时代，从都有""麦克风”， 处处都是“直播间”，这支“麦克风”并不是可以随心所欲使用的，应以法律的相关规定为界限，对行 使法律界限的正确理解是( ),BCD,权力行使的方式具有唯一性  ,权力行使要有目的的正当性  ,群里行使不能超过法定的限度,权力行使要遵循程序正当的原则,2020UnifiedNationalGraduateEntranceExamination
2019 年 1 月 3 日 10 时 26 分，嫦娥四号探测器成功着陆，月球背面预选着陆区，并通过“鹊桥”中继星传回了月背影像图，揭开了古老月背的神秘面纱。这次月球探测( ),ACD,实现了人类探测器首次月背软着陆 ,开启了我国太空站建设的序幕,实现了首次月背与地球的中继通信 ,开启了人类月球探测新篇章,2020UnifiedNationalGraduateEntranceExamination
2019 年是中俄建交 70 周年，应俄罗斯总统普京邀请， 6 月 5 日至 7 日，习近平主席对俄罗斯进行军事访问并出席第二十三届圣彼得堡国际经济论坛，在中俄建交70 周年纪念大会讲话中，习近平对“新时代的中俄关系”提出的主张是( ),ABCD,始终以互信为基石，巩固彼此战略依托 ,着力深化利益交融，拉紧共同利益纽带,促进民心相通，夯实世代友好的民意基础 ,要更加担当有为，携手维护世界和平安宁,2020UnifiedNationalGraduateEntranceExamination
最近，科学家利用宇宙三维地图发配迄今最大的宇宙结构之一，包含了数十万星系长达 14  亿光年的“南极塔”，中国科学家表示由于万有引力，密度较高的区域会产生较弱的引力，将周围物质吸引进来形成了星系以及更大尺度的结构，  现代宇宙学表明，宇宙是由暗物质、暗能星主导的，但暗物质究竟是什么，目前不得而知，在“南极塔”等宇宙大尺度结构中，很可能藏着大量的暗物质，这是宇宙演化历史的重要指针，“南极塔”的发展表明,AD, 未知世界与已知世界是客观存在的, 整个物质世界的时间和空间是有限的, 世界本质是暗物质能量, 世界只有尚未认知之物，没有不可认识之物,2021UnifiedNationalGraduateEntranceExamination
人体是抗击病毒的“机制”，当病原体进入体，升高的体温刺激免疫系统打败病毒，在理想的情况下，免疫系统创造了一个环境让病原体，难以生存，一旦病原体适应更高的温度，人的免疫系统就无法发挥作用。人的免疫与自然环境之间联系,CD, 人类只能适应自然环境变化而不能改变自然环境, 自然环境对人类发展有决定性作用, 自然是长发展的重要前提, 人在受自然制约的同时交环境,2021UnifiedNationalGraduateEntranceExamination
商品经济是一定社会历史条件的产物，商品经济得以产生的社会历史条件,AB, 生产资料和劳动产品属于不同所有者, 社会分工的出现及其存在, 商品具有了使用价值和价值两个因素, 交换过程中形成了充当一般等价物的商品,2021UnifiedNationalGraduateEntranceExamination
为了实现盈利，将人工流水线改造成机器流水线，受经济危机，从市场上采购生产原料价格下降，资本构成发生变化的是,ACD, 资本有机构成, 资本积累构成, 资本技术构成, 资本价值构成,2021UnifiedNationalGraduateEntranceExamination
1871 巴黎公社革命，马、恩总结的经验主要有,ABCD, 无产阶级政权是为人民服务的机关, 必须为碎旧的国家机器建立无产阶级政权, 无产阶级革命取得成功并保持果实的首要条件是要有革命的武装, 必须建立无产阶级政党，发挥党的政治领导作用,2021UnifiedNationalGraduateEntranceExamination
社会主义基本制度确立以后，如何在中国这一个经济文化比较落后的东方大国建设和巩固社会主义∶是党面临的一项崭新课题.为找到一条适合中国国情的社会主义建设道路，总带领人民进行了艰难曲折的初步探索。这一份初步探索的意义主要体现在,BCD,体现了马克思主义中国化的第二次飞跃,丰富了科学社会主义的理论和实践, 巩固和发展了我国社会主义制度, 为开创中国特色社会主义提供了宝贵经验，理论准备，物质基础,2021UnifiedNationalGraduateEntranceExamination
我国经济发展新动能的持续壮大声明,AB, 创新驱动了引领作用进一步加强, 供给的结构效果取得了显著绩效, 数字经济已成为我国经济高质量发展的新引擎, 现代化经济已经生成,2021UnifiedNationalGraduateEntranceExamination
十三五时期我国大气污染治理取得了明显成效，主要得益于?,BCD, 坚特全民共治，全民防治, 把突出环境问题作为生态文明建设的着力点, 构建生态通道的生物多样性保护网络, 不断完善生态环境保护制度和强化环保监督,2021UnifiedNationalGraduateEntranceExamination
我国提高就业质量的主要举措是,ABC, 开展大舰模职业技能信训, 提供全方位公共就业服务, 构建和谐劳动关系, 使失业率保持保持合理区间,2021UnifiedNationalGraduateEntranceExamination
促进各民族像石榴籽一样紧紧抱在一起旨在,ABCD, 铸牢中华民族共同意识, 建设各民族共有精神家园, 巩固和发展平等团结互助和谐社会的社会主义民族关系, 使各民族在中华民族大家庭手足相亲，守望相助,2021UnifiedNationalGraduateEntranceExamination
鸦片战争成为中国近代史起点是因为随着西方列强入侵,AC, 中国封建社会逐渐变成了半殖民地半封建社会, 中国开始落后于西方资本主义国家, 中国人民逐渐开始反帝反封建的资产主义革命, 无产阶级与资产阶级的矛盾上升为占支配地位的主要矛盾,2021UnifiedNationalGraduateEntranceExamination
五四运动后，社会主义思潮在中国蓬勃兴起，马克思主义开始在知识界得到传播。中国早期信仰马克思主义的人物，就类型而言，主要包括∶,ABC, 五四运动的左翼骨干, 五四以前的新文化运动的精神领袖, 原中国同盟会会员，辛亥革命时期的活动家, 工人群众中的活跃分子,2021UnifiedNationalGraduateEntranceExamination
中国从开始全面建设社会主义到  1976 年尽管经历过严重的曲折，但从总体上来说，社会主义建设取得的成就是显著的，主要表现在,ABCD, 人民生活水平的提高与文化教育，医疗，科技事业的发展, 独立完整的工业体系的建立和国民体系的建设, 国际地位的提高与国际环境的改善,探索中形成的建设社会主义的若干重要原则,2021UnifiedNationalGraduateEntranceExamination
2020 年颁布的《中华人民共和国民法典》是新中国第一部以法典命名的法律， 这部法典共七编，1260  条，包括总则、物权、合同、人格权、婚姻、家庭、继承、侵权责任以及附则。被称为“社会生活的百科全书”。它系统地整合了新中国成立七十多年来司法实践中形成的民事法律规范，汲取和借鉴了中外优势法治建设的有益成果，是一部具有鲜明中国特色、实践特色、时代特色的民法典，开创了我国法典编纂立法的先河。编纂民法典的重大意义是∶,ABCD, 推进全面依法治国，推进国家法律体系和治理能力现代化的重大举措, 坚持和完善中国特色社会主义制度的现实需求, 坚持和完善社会主义基本经济制度、推动经济高质量发展的客观要求, 增进人民福祉，维护广大人民根本利益的必然要求,2021UnifiedNationalGraduateEntranceExamination
法律权威是指法律再社会中的作用力、影响力和公信力，是法律应有的尊严和生命，法律是否具有权威取决于(),ABC, 法律再时间中的实施程度, 法律本身的科学程度, 法律在国家和社会治理体系中的地位和作用, 法律被国际社会认同和尊崇的程度,2021UnifiedNationalGraduateEntranceExamination
"2020 年 6 月 30  日，十三届全国人大常委会第二十次会议表决通过的《中国人民共和国香港特别行政区维护国家安全法》，是新形势下坚持和完善""一国两制""制度体系的标志性法律，其重大作用在于()",ABCD, 有效应对各种反中乱港势力, 确保国家主权在香港收到严格保护, 弥补香港国安方面的立法缺失, 保障香港长治久安和长期繁荣稳定,2021UnifiedNationalGraduateEntranceExamination
2020.11.15，东盟 16  国与中，日，韩，澳和新西兰正式签署《区域全面经济伙伴关系稳定》(RECP)，全球最大贸易区诞生其重要意义主要体现在(),ABCD, 将为区域乃至全球经济复苏注入新动能, 开启了区域经济一体化新篇章, 全球贸易投资自由化、便利化取得压倒性优势, 将更好地发挥中国作为亚太地区价值新中心节点作用,2021UnifiedNationalGraduateEntranceExamination
在深入推动黄河流域生态保护和高质量发展座谈会上，习近平总书记谈及水资源和发展的关系时，以传统名吃“羊肉泡馍”作形象比喻，强调要全方位贯彻“四水四定”（以水定城、以水定地、以水定人、以水定产）原则，精打细算用好水资源，“有多少汤泡多少馍”，让水资源用在最该用的地方。“有多少汤泡多少馍”蕴含的哲学道理是,BCD,创造条件，充分发挥意识能动性,一切从实际出发，实事求是,因地制宜，因时制宜,尊重规律，把握适度原则,2022UnifiedNationalGraduateEntranceExamination
人类历史上的每一次科技革命都与材料的发展息息相关，而新材料的研制却是颇为不易的。人工智能可以借助数据共享，对先进材科的物理化学性质进行预测筛选，从而加快新材料的合成和生产。作为人工智能的一个分支，机器学习算法在辅助新材料设计时尤为“得力”，其工作过程主要包括“描述符”生成、模型构建和验证、材料预测、实验验证等步骤。人工智能辅助新材料研发的过程表明,CD,科学研究能够任意改变物质的性质和结构,人工智能能够取代人类对物质世界的认识<,人类对于物质的认识是一个不断深化的过程,具体的物质结构和性质的变化并不改变世界的物质性,2022UnifiedNationalGraduateEntranceExamination
时间是万事万物存在的刻度。1秒钟，电影放映24帧画面，猎豹在草原上飞奔28米，蜂鸟振动翅膀55次；1分钟，登山队员攀登珠峰顶峰58.8厘米，“复兴号”前进5833米。时间创造无限可能。有人努力奔跑，全力以赴地冲刺突破极限；有人砥砺前行，以日复一日的坚守辛勤耕耘。原木匀速流动的时间，正是在生生不息的奋斗中，在昂扬奋发的进取中，确定意义、体现价值，进而定义生命的精彩、定格历史的脉动。人们在奋斗中“定义”时间，说明时间是,ABD,测量事物运动的客观尺度,物质运动的存在形式,事物运动的主观联想,与物质运动不可分割的,2022UnifiedNationalGraduateEntranceExamination
如今，“逆袭”“超燃”“躺平”“凡尔赛”“YYDS”等网络热词令人目不暇接，了解这些网络话的意思用法，几乎成了网上冲浪的必修课。嵌入日常生活交流的网络热词，为语言的发展带来新语料，也能够让人们一窥当下的社会生活和社会心态。网络热词流行的现象表明,AB,社会心态是社会生产和生活的反映,社会意识随着社会存在的发展而变化,社会意识是主体对社会生活的自发反映,社会心态的差异性决定社会生活的多样性,2022UnifiedNationalGraduateEntranceExamination
马克思、恩格斯在《共产党宣言》中指出：“资产阶级在它的不到一百年的阶级统治中所创造的生产力，比过去一切世代创造的全部生产力还要多、还要大。自然力的征服，机器的采用，化学在工业和农业中的应用，轮船的行驶，铁路的通行，电报的使用，整个大陆的开垦，河川的通航，仿佛用法术从地下呼唤出来的大量人口——过去哪一个世纪料想到在社会劳动里蕴藏有这样的生产力呢？”资本主义社会生产力迅速发展的主要原因是,AB,资本追逐剩余价值的内在动力,市场激烈竞争的外在压力,无产阶级反对资产阶级的斗争,资本主义国家对市场的全面控制,2022UnifiedNationalGraduateEntranceExamination
发展数字经济是把握新一轮科技革命和产业变革新机遇的战略选择。据2021年8月2日中国信息通信研究院发布的《全球数字经济白皮书》统计显示，2020年我国数字经济规模近5.4万亿美元，居世界第二位；同比增长9.6%，增速位于全球第一。我国数字经济健康发展有利于,ABD,推动建设现代化经济体系,推动构建新发展格局,推动化解发展中的根本制约因素,推动构筑国家竞争新优势,2022UnifiedNationalGraduateEntranceExamination
2021年是中国加入世界贸易组织20周年。20年来，中国经济总量从世界第六位上升到第二位，货物贸易从世界第六位上升到第一位，服务贸易从世界第十一位上升到第二位，利用外资稳居发展中国家首位，对外直接投资从世界第二十六位上升到第一位。目前，中国已成为50多个国家和地区的最大贸易伙伴、120多个国家和地区的前三大贸易伙伴。中国入世20年的历史充分证明,BCD,我国经济已经实现了由高速增长向高质量发展转变,以开放促改革、促发展是我国现代化建设的重要法宝,坚持开放合作才能获得更多发展机遇和更大发展空间,我国是多边贸易体制的坚定支持者、积极参与者和重要贡献者,2022UnifiedNationalGraduateEntranceExamination
中国共产党自成立以来不断探索和发展适合中国国情的民主道路，使人民民主在东方大国落地生根、繁荣发展。党的十八大以来，我们党不断深化对民主政治发展规律的认识，践行以人民为中心的发展思想，积极发展全过程人民民主。全过程人民民主,ABCD,是完整制度程序和完整参与实践有机统一的民主,是全链条、全方位、全覆盖的民主,是最广泛、最真实，最管用的社会主义民主,实现了过程民主和成果民主、程序民主和实质民主、直接民主和间接民主、人民民主和国家意志相统一,2022UnifiedNationalGraduateEntranceExamination
生态文明的核心是坚持人与自然和谐共生。2021年4月，群栖息在云南西双版纳国家级自然保护区的野生亚洲象，一路向北到达昆明， 走过稻田、穿过城镇，历时110多天，行进1000多公里。8月上旬，北移的15头亚洲象全部安全南返。亚洲象群的迁移引起国内外和社会各界广泛关注。习近平主席在《生物多样性公约》第十五次缔约方大会领导人峰会上的主旨讲话中特别指出：“云南大象的北上及返回之旅，让我们看到了中国保护野生动物的成果。”中国政府一贯高度重视生物多样性保护，不断加强和创新生物多样性保护举措。这些举措主要有（&nbsp;&nbsp; ）,ACD,划定生态保护红线,加大自然资源的开发利用,建立生物安全风险防控和治理体系,构建以国家公园为主体的自然保护地体系,2022UnifiedNationalGraduateEntranceExamination
